"//1.사업메타","","","","","","","","","","","","",""
"//사업명_정선해양관측","","","","","","","","","","","","",""
"//사업요약_관할해역의 미리 정해진 정점과 관측선을 따라 정기적으로 수온, 염분, 용존산소, 영양염 및 해양기상자료 등의 관측수행 및 자료제공","","","","","","","","","","","","",""
"//수행기관명_국립수산과학원","","","","","","","","","","","","",""
"//사업책임자명_null","","","","","","","","","","","","",""
"//표준시_KST","","","","","","","","","","","","",""
"//사업시작일_1961-01-29","","","","","","","","","","","","",""
"//사업종료일_2017-12-28","","","","","","","","","","","","",""
"//공간적범위_[(39.7383 122.2167, 31.5 135.0917)]","","","","","","","","","","","","",""
"//키워드_염분, 수온, 투명도, ","","","","","","","","","","","","",""
"//플랫폼_","","","","","","","","","","","","",""
"//관측장비_unknown","","","","","","","","","","","","",""
"////","","","","","","","","","","","","",""
"//2. 인용문구","","","","","","","","","","","","",""
"//관할해역 해양정보 공동활용시스템(JOISS)은 자료의 검색/분석 및 다운로드 서비스를 제공하고 있습니다.","","","","","","","","","","","","",""
"//본 포털은 해양수산부의 “해양과학조사 및 예보기술개발” 프로그램의 “관할해역 해양정보 공동활용체계 구축” 연구과제를 통해 구축 및 관리되고 있습니다.","","","","","","","","","","","","",""
"//JOISS에서 제공되고 있는 자료 및 서비스는 자유로운 사용 및 재배포가 가능합니다(자료가 부적절히 사용된 경우 서비스가 제한될 수 있음).","","","","","","","","","","","","",""
"//JOISS에서 제공된 자료 및 서비스(분석 및 그래프)를 사용한 경우 자료의 출처를 반드시 명시해야합니다.","","","","","","","","","","","","",""
"//가능하다면 인용된 문서 정보를 이메일(jiyoon4550@kesti.co.kr)로 보내주시길 바라며 이러한 협조는 JOISS 관리 및 발전에 큰 도움이 됩니다.","","","","","","","","","","","","",""
"////","","","","","","","","","","","","",""
"//● References","","","","","","","","","","","","",""
"//[연구사업 수행기관명], [책임자명], [최근자료수집일자], [자료명칭(연구사업명, 과제번호)]","","","","","","","","","","","","",""
"//국립수산과학원, null, 2017-12-28, 정선해양관측","","","","","","","","","","","","",""
"////","","","","","","","","","","","","",""
"//3. 데이터","","","","","","","","","","","","",""
" //플래그정보 : 0:미수행(no quality control), 1:양호(good value), 2:양호예상(probably good value), 3:의심(probably bad value), 4:불량(bad value), 9:결측(missing value)","","","","","","","","","","","","",""
"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","염분[psu]","sal_qc","수온[℃]","wtrtmp_qc","용존산소[mg/L]","disoxy_qc"
"정선해양관측","102-05","1961-06-19 11:15:00","129.6883","36.0767","0","0","","34.36","1","19","1","",""
"정선해양관측","102-05","1961-06-19 11:15:00","129.6883","36.0767","0","10","","34.36","1","15.12","1","",""
"정선해양관측","102-05","1961-06-19 11:15:00","129.6883","36.0767","0","25","","34.29","1","11.09","1","",""
"정선해양관측","102-05","1961-06-19 11:15:00","129.6883","36.0767","0","50","","34.25","1","5.52","1","",""
"정선해양관측","102-05","1961-06-19 11:15:00","129.6883","36.0767","0","55","","34.07","1","2.32","1","",""
"정선해양관측","102-05","1961-07-28 08:18:00","129.6883","36.0767","0","0","","34.16","1","15.2","1","",""
"정선해양관측","102-05","1961-07-28 08:18:00","129.6883","36.0767","0","10","","34.25","1","11.34","1","",""
"정선해양관측","102-05","1961-07-28 08:18:00","129.6883","36.0767","0","25","","34.18","1","6.46","1","",""
"정선해양관측","102-05","1961-07-28 08:18:00","129.6883","36.0767","0","50","","34.15","1","3.32","1","",""
"정선해양관측","102-05","1961-07-28 08:18:00","129.6883","36.0767","0","55","","34","1","1.26","1","",""
"정선해양관측","102-05","1961-08-22 12:13:00","129.6883","36.0767","0","0","","33.59","1","23","1","",""
"정선해양관측","102-05","1961-08-22 12:13:00","129.6883","36.0767","0","10","","33.55","1","20.89","1","",""
"정선해양관측","102-05","1961-08-22 12:13:00","129.6883","36.0767","0","25","","34.25","1","12.08","1","",""
"정선해양관측","102-05","1961-08-22 12:13:00","129.6883","36.0767","0","50","","34.33","1","7.38","1","",""
"정선해양관측","102-05","1961-08-22 12:13:00","129.6883","36.0767","0","100","","34.05","1","2.81","1","",""
"정선해양관측","102-05","1961-08-22 12:13:00","129.6883","36.0767","0","175","","34.05","1","2.65","1","",""
"정선해양관측","102-05","1961-10-05 09:20:00","129.6883","36.0767","0","0","","32.52","1","22.8","1","",""
"정선해양관측","102-05","1961-10-05 09:20:00","129.6883","36.0767","0","10","","32.47","1","22.31","1","",""
"정선해양관측","102-05","1961-10-05 09:20:00","129.6883","36.0767","0","25","","32.72","1","22","1","",""
"정선해양관측","102-05","1961-10-05 09:20:00","129.6883","36.0767","0","50","","34.31","1","9.9","1","",""
"정선해양관측","102-05","1961-10-05 09:20:00","129.6883","36.0767","0","100","","34.11","1","2.32","1","",""
"정선해양관측","102-05","1961-10-05 09:20:00","129.6883","36.0767","0","175","","34.2","1","1.68","1","",""
"정선해양관측","102-05","1961-10-21 12:00:00","129.6883","36.0767","0","0","","32.66","1","22.8","1","",""
"정선해양관측","102-05","1961-10-21 12:00:00","129.6883","36.0767","0","10","","32.85","1","21.93","1","",""
"정선해양관측","102-05","1961-10-21 12:00:00","129.6883","36.0767","0","25","","33.12","1","21.85","1","",""
