"//1.사업메타","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//사업명_정선해양관측","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//사업요약_관할해역의 미리 정해진 정점과 관측선을 따라 정기적으로 수온, 염분, 용존산소, 영양염 및 해양기상자료 등의 관측수행 및 자료제공","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//수행기관명_국립수산과학원","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//사업책임자명_null","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//표준시_KST","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//사업시작일_1961-01-29","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//사업종료일_2017-12-28","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//공간적범위_[(39.7383 122.2167, 31.5 135.0917)]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//키워드_기압, 건구기온, 날씨_code, 너울등급_code, 수색_code, 운량_code, 운형_code, 파도등급_code, 풍력등급_code, 풍향_code, ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//플랫폼_","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//관측장비_unknown","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"////","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//2. 인용문구","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//관할해역 해양정보 공동활용시스템(JOISS)은 자료의 검색/분석 및 다운로드 서비스를 제공하고 있습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//본 포털은 해양수산부의 “해양과학조사 및 예보기술개발” 프로그램의 “관할해역 해양정보 공동활용체계 구축” 연구과제를 통해 구축 및 관리되고 있습니다.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//JOISS에서 제공되고 있는 자료 및 서비스는 자유로운 사용 및 재배포가 가능합니다(자료가 부적절히 사용된 경우 서비스가 제한될 수 있음).","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//JOISS에서 제공된 자료 및 서비스(분석 및 그래프)를 사용한 경우 자료의 출처를 반드시 명시해야합니다.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//가능하다면 인용된 문서 정보를 이메일(jiyoon4550@kesti.co.kr)로 보내주시길 바라며 이러한 협조는 JOISS 관리 및 발전에 큰 도움이 됩니다.","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"////","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//● References","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//[연구사업 수행기관명], [책임자명], [최근자료수집일자], [자료명칭(연구사업명, 과제번호)]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//국립수산과학원, null, 2017-12-28, 정선해양관측","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"////","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"//3. 데이터","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" //플래그정보 : 0:미수행(no quality control), 1:양호(good value), 2:양호예상(probably good value), 3:의심(probably bad value), 4:불량(bad value), 9:결측(missing value)","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"project_name","station","yyyy-mm-dd hh:mm:ss","Longitude [degrees_east]","Latitude [degrees_north]","bot.depth[m]","수심(m)","수심(text)","기압","airpre_qc","건구기온","drybultmp_qc","날씨_code","wtrc_qc","너울등급_code","swslec_qc","수색_code","wtrcolc_qc","운량_code","cudamoc_qc","운형_code","cudfmc_qc","파도등급_code","wavslec_qc","풍력등급_code","wndfcec_qc","풍향_code","wnddirc_qc"
"정선해양관측","102-04","1962-06-23 06:25:00","129.615","36.0767","0","0","","1010.7","2","17.5","2","흐림(운량:8-10)","2","Very Low","2","","","81%-90%","2","Stratus","2","Smooth-wavelets ","2","0 - 0.2 ","2","SW ","2"
"정선해양관측","102-04","1962-07-30 09:15:00","129.615","36.0767","0","0","","1009.3","2","24.5","2","개임(운량:3-7)","2","Very Low","2","","","41%-50%","2","Stratus","2","Moderate ","2","0.3- 1.5 ","2","SSE","2"
"정선해양관측","102-04","1962-11-14 00:50:00","129.615","36.0767","0","0","","1029.3","2","20","2","흐림(운량:8-10)","2","Very Low","2","","","71%-80%","2","Cirrus","2","Slight ","2","0 - 0.2 ","2","E  ","2"
"정선해양관측","102-04","1962-11-14 12:50:00","129.615","36.0767","0","0","","1029.3","2","20","2","흐림(운량:8-10)","2","Very Low","2","","","71%-80%","2","Cirrus","2","Slight ","2","0 - 0.2 ","2","E  ","2"
"정선해양관측","102-05","1962-03-01 04:20:00","129.6883","36.0767","0","0","","1024","2","5.5","2","쾌청(운량:0-2)","2","Low","2","","","11%-20%","2","Cirrus","2","Moderate ","2","0 - 0.2 ","2","N  ","2"
"정선해양관측","102-05","1962-04-05 11:45:00","129.6883","36.0767","0","0","","1029.3","2","11.2","2","쾌청(운량:0-2)","2","Very Low","2","","","1%-10%","2","Cirrus","2","Slight ","2","0 - 0.2 ","2","S  ","2"
"정선해양관측","102-05","1962-06-23 07:20:00","129.6883","36.0767","0","0","","1010.7","2","17.5","2","흐림(운량:8-10)","2","Very Low","2","","","81%-90%","2","Stratus","2","Slight ","2","0 - 0.2 ","2","SW ","2"
